vendor,model,cpu,memory,disk,bandwidth,traffic,renewalCycle,renewalAmount,currency
搬瓦工,SPECIAL 80G KVM PROMO V5 · CN2 GIA ECOMMERCE,4C,4096M,80000G,2500M,3000T,半年付,289.99,USD 美元
搬瓦工,SPECIAL 80G KVM PROMO V5 · CN2 GIA ECOMMERCE,4C,4096M,80000G,2500M,3000T,年付,549.99,USD 美元
搬瓦工,SPECIAL 160G KVM PROMO V5 · CN2 GIA ECOMMERCE,6C,8192M,160000G,5000M,5000T,月付,86.99,USD 美元
搬瓦工,SPECIAL 160G KVM PROMO V5 · CN2 GIA ECOMMERCE,6C,8192M,160000G,5000M,5000T,季付,239.99,USD 美元
搬瓦工,SPECIAL 160G KVM PROMO V5 · CN2 GIA ECOMMERCE,6C,8192M,160000G,5000M,5000T,半年付,459.99,USD 美元
搬瓦工,SPECIAL 160G KVM PROMO V5 · CN2 GIA ECOMMERCE,6C,8192M,160000G,5000M,5000T,年付,879.99,USD 美元
搬瓦工,SPECIAL 320G KVM PROMO V5 · CN2 GIA ECOMMERCE,8C,16384M,320000G,5000M,8000T,月付,159.99,USD 美元
搬瓦工,SPECIAL 320G KVM PROMO V5 · CN2 GIA ECOMMERCE,8C,16384M,320000G,5000M,8000T,季付,459.99,USD 美元
搬瓦工,SPECIAL 320G KVM PROMO V5 · CN2 GIA ECOMMERCE,8C,16384M,320000G,5000M,8000T,半年付,869.99,USD 美元
搬瓦工,SPECIAL 320G KVM PROMO V5 · CN2 GIA ECOMMERCE,8C,16384M,320000G,5000M,8000T,年付,1599.99,USD 美元
搬瓦工,SPECIAL 640G KVM PROMO V5 · CN2 GIA ECOMMERCE,10C,32678M,640000G,10000M,10000T,月付,289.99,USD 美元
搬瓦工,SPECIAL 640G KVM PROMO V5 · CN2 GIA ECOMMERCE,10C,32678M,640000G,10000M,10000T,季付,799.99,USD 美元
搬瓦工,SPECIAL 640G KVM PROMO V5 · CN2 GIA ECOMMERCE,10C,32678M,640000G,10000M,10000T,半年付,1499.99,USD 美元
搬瓦工,SPECIAL 640G KVM PROMO V5 · CN2 GIA ECOMMERCE,10C,32678M,640000G,10000M,10000T,年付,2759.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · CN2 GIA ECOMMERCE,12C,65536M,1280000G,10000M,12000T,月付,549.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · CN2 GIA ECOMMERCE,12C,65536M,1280000G,10000M,12000T,季付,1559.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · CN2 GIA ECOMMERCE,12C,65536M,1280000G,10000M,12000T,半年付,2979.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · CN2 GIA ECOMMERCE,12C,65536M,1280000G,10000M,12000T,年付,5499.99,USD 美元
搬瓦工,SPECIAL 40G KVM PROMO V5 · HONG KONG CN2 GIA,2C,2048M,40000G,1000M,500T,月付,89.99,USD 美元
搬瓦工,SPECIAL 40G KVM PROMO V5 · HONG KONG CN2 GIA,2C,2048M,40000G,1000M,500T,季付,249.99,USD 美元
搬瓦工,SPECIAL 40G KVM PROMO V5 · HONG KONG CN2 GIA,2C,2048M,40000G,1000M,500T,半年付,479.99,USD 美元
搬瓦工,SPECIAL 40G KVM PROMO V5 · HONG KONG CN2 GIA,2C,2048M,40000G,1000M,500T,年付,899.99,USD 美元
搬瓦工,SPECIAL 80G KVM PROMO V5 · HONG KONG CN2 GIA,4C,4096M,80000G,1000M,1000T,月付,155.99,USD 美元
搬瓦工,SPECIAL 80G KVM PROMO V5 · HONG KONG CN2 GIA,4C,4096M,80000G,1000M,1000T,季付,439.99,USD 美元
搬瓦工,SPECIAL 80G KVM PROMO V5 · HONG KONG CN2 GIA,4C,4096M,80000G,1000M,1000T,半年付,829.99,USD 美元
搬瓦工,SPECIAL 80G KVM PROMO V5 · HONG KONG CN2 GIA,4C,4096M,80000G,1000M,1000T,年付,1559.99,USD 美元
搬瓦工,SPECIAL 160G KVM PROMO V5 · HONG KONG CN2 GIA,6C,8192M,160000G,1000M,2000T,月付,299.99,USD 美元
搬瓦工,SPECIAL 160G KVM PROMO V5 · HONG KONG CN2 GIA,6C,8192M,160000G,1000M,2000T,季付,859.99,USD 美元
搬瓦工,SPECIAL 160G KVM PROMO V5 · HONG KONG CN2 GIA,6C,8192M,160000G,1000M,2000T,半年付,1599.99,USD 美元
搬瓦工,SPECIAL 160G KVM PROMO V5 · HONG KONG CN2 GIA,6C,8192M,160000G,1000M,2000T,年付,2999.99,USD 美元
搬瓦工,SPECIAL 320G KVM PROMO V5 · HONG KONG CN2 GIA,8C,16384M,320000G,1000M,4000T,月付,589.99,USD 美元
搬瓦工,SPECIAL 320G KVM PROMO V5 · HONG KONG CN2 GIA,8C,16384M,320000G,1000M,4000T,季付,1669.99,USD 美元
搬瓦工,SPECIAL 320G KVM PROMO V5 · HONG KONG CN2 GIA,8C,16384M,320000G,1000M,4000T,半年付,3169.99,USD 美元
搬瓦工,SPECIAL 320G KVM PROMO V5 · HONG KONG CN2 GIA,8C,16384M,320000G,1000M,4000T,年付,5899.99,USD 美元
搬瓦工,SPECIAL 40G KVM PROMO V5 · TOKYO CN2 GIA,2C,2048M,40000G,1200M,500T,月付,89.99,USD 美元
搬瓦工,SPECIAL 40G KVM PROMO V5 · TOKYO CN2 GIA,2C,2048M,40000G,1200M,500T,季付,249.99,USD 美元
搬瓦工,SPECIAL 40G KVM PROMO V5 · TOKYO CN2 GIA,2C,2048M,40000G,1200M,500T,半年付,479.99,USD 美元
搬瓦工,SPECIAL 40G KVM PROMO V5 · TOKYO CN2 GIA,2C,2048M,40000G,1200M,500T,年付,899.99,USD 美元
搬瓦工,SPECIAL 80G KVM PROMO V5 · TOKYO CN2 GIA,4C,4096M,80000G,1200M,1000T,月付,155.99,USD 美元
搬瓦工,SPECIAL 80G KVM PROMO V5 · TOKYO CN2 GIA,4C,4096M,80000G,1200M,1000T,季付,439.99,USD 美元
搬瓦工,SPECIAL 80G KVM PROMO V5 · TOKYO CN2 GIA,4C,4096M,80000G,1200M,1000T,半年付,829.99,USD 美元
搬瓦工,SPECIAL 80G KVM PROMO V5 · TOKYO CN2 GIA,4C,4096M,80000G,1200M,1000T,年付,1559.99,USD 美元
搬瓦工,SPECIAL 160G KVM PROMO V5 · TOKYO CN2 GIA,6C,8192M,160000G,1200M,2000T,月付,299.99,USD 美元
搬瓦工,SPECIAL 160G KVM PROMO V5 · TOKYO CN2 GIA,6C,8192M,160000G,1200M,2000T,季付,859.99,USD 美元
搬瓦工,SPECIAL 160G KVM PROMO V5 · TOKYO CN2 GIA,6C,8192M,160000G,1200M,2000T,半年付,1599.99,USD 美元
搬瓦工,SPECIAL 160G KVM PROMO V5 · TOKYO CN2 GIA,6C,8192M,160000G,1200M,2000T,年付,2999.99,USD 美元
搬瓦工,SPECIAL 320G KVM PROMO V5 · TOKYO CN2 GIA,8C,16384M,320000G,1200M,4000T,月付,589.99,USD 美元
搬瓦工,SPECIAL 320G KVM PROMO V5 · TOKYO CN2 GIA,8C,16384M,320000G,1200M,4000T,季付,1669.99,USD 美元
搬瓦工,SPECIAL 320G KVM PROMO V5 · TOKYO CN2 GIA,8C,16384M,320000G,1200M,4000T,半年付,3169.99,USD 美元
搬瓦工,SPECIAL 320G KVM PROMO V5 · TOKYO CN2 GIA,8C,16384M,320000G,1200M,4000T,年付,5899.99,USD 美元
搬瓦工,SPECIAL 640G KVM PROMO V5 · HONG KONG CN2 GIA,10C,32768M,640000G,1000M,6000T,月付,989.99,USD 美元
搬瓦工,SPECIAL 640G KVM PROMO V5 · HONG KONG CN2 GIA,10C,32768M,640000G,1000M,6000T,季付,2819.99,USD 美元
搬瓦工,SPECIAL 640G KVM PROMO V5 · HONG KONG CN2 GIA,10C,32768M,640000G,1000M,6000T,半年付,5289.99,USD 美元
搬瓦工,SPECIAL 640G KVM PROMO V5 · HONG KONG CN2 GIA,10C,32768M,640000G,1000M,6000T,年付,9989.99,USD 美元
搬瓦工,SPECIAL 640G KVM PROMO V5 · TOKYO CN2 GIA,10C,32768M,640000G,1200M,6000T,月付,989.99,USD 美元
搬瓦工,SPECIAL 640G KVM PROMO V5 · TOKYO CN2 GIA,10C,32768M,640000G,1200M,6000T,季付,2819.99,USD 美元
搬瓦工,SPECIAL 640G KVM PROMO V5 · TOKYO CN2 GIA,10C,32768M,640000G,1200M,6000T,半年付,5289.99,USD 美元
搬瓦工,SPECIAL 640G KVM PROMO V5 · TOKYO CN2 GIA,10C,32768M,640000G,1200M,6000T,年付,9989.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · HONG KONG CN2 GIA,12C,65536M,1280000G,1000M,8000T,月付,1889.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · HONG KONG CN2 GIA,12C,65536M,1280000G,1000M,8000T,季付,5389.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · HONG KONG CN2 GIA,12C,65536M,1280000G,1000M,8000T,半年付,9989.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · HONG KONG CN2 GIA,12C,65536M,1280000G,1000M,8000T,年付,18989.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · TOKYO CN2 GIA,12C,65536M,1280000G,1200M,8000T,月付,1889.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · TOKYO CN2 GIA,12C,65536M,1280000G,1200M,8000T,季付,5389.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · TOKYO CN2 GIA,12C,65536M,1280000G,1200M,8000T,半年付,9989.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · TOKYO CN2 GIA,12C,65536M,1280000G,1200M,8000T,年付,18989.99,USD 美元
搬瓦工,SPECIAL 40G KVM PROMO V5 · OSAKA CN2 GIA,2C,2048M,40000G,1500M,500T,月付,49.99,USD 美元
搬瓦工,SPECIAL 40G KVM PROMO V5 · OSAKA CN2 GIA,2C,2048M,40000G,1500M,500T,季付,139.99,USD 美元
搬瓦工,SPECIAL 40G KVM PROMO V5 · OSAKA CN2 GIA,2C,2048M,40000G,1500M,500T,半年付,269.99,USD 美元
搬瓦工,SPECIAL 40G KVM PROMO V5 · OSAKA CN2 GIA,2C,2048M,40000G,1500M,500T,年付,499.99,USD 美元
搬瓦工,SPECIAL 80G KVM PROMO V5 · OSAKA CN2 GIA,4C,4096M,80000G,1500M,1000T,月付,86.99,USD 美元
搬瓦工,SPECIAL 80G KVM PROMO V5 · OSAKA CN2 GIA,4C,4096M,80000G,1500M,1000T,季付,245.99,USD 美元
搬瓦工,SPECIAL 80G KVM PROMO V5 · OSAKA CN2 GIA,4C,4096M,80000G,1500M,1000T,半年付,459.99,USD 美元
搬瓦工,SPECIAL 80G KVM PROMO V5 · OSAKA CN2 GIA,4C,4096M,80000G,1500M,1000T,年付,869.99,USD 美元
搬瓦工,SPECIAL 160G KVM PROMO V5 · OSAKA CN2 GIA,6C,8192M,160000G,1500M,2000T,月付,165.99,USD 美元
搬瓦工,SPECIAL 160G KVM PROMO V5 · OSAKA CN2 GIA,6C,8192M,160000G,1500M,2000T,季付,479.99,USD 美元
搬瓦工,SPECIAL 160G KVM PROMO V5 · OSAKA CN2 GIA,6C,8192M,160000G,1500M,2000T,半年付,888.99,USD 美元
搬瓦工,SPECIAL 160G KVM PROMO V5 · OSAKA CN2 GIA,6C,8192M,160000G,1500M,2000T,年付,1665.99,USD 美元
搬瓦工,SPECIAL 320G KVM PROMO V5 · OSAKA CN2 GIA,8C,16384M,320000G,1500M,4000T,月付,329.99,USD 美元
搬瓦工,SPECIAL 320G KVM PROMO V5 · OSAKA CN2 GIA,8C,16384M,320000G,1500M,4000T,季付,929.99,USD 美元
搬瓦工,SPECIAL 320G KVM PROMO V5 · OSAKA CN2 GIA,8C,16384M,320000G,1500M,4000T,半年付,1739.99,USD 美元
搬瓦工,SPECIAL 320G KVM PROMO V5 · OSAKA CN2 GIA,8C,16384M,320000G,1500M,4000T,年付,3199,USD 美元
搬瓦工,SPECIAL 640G KVM PROMO V5 · OSAKA CN2 GIA,10C,32768M,640000G,1500M,6000T,月付,549.99,USD 美元
搬瓦工,SPECIAL 640G KVM PROMO V5 · OSAKA CN2 GIA,10C,32768M,640000G,1500M,6000T,季付,1569.99,USD 美元
搬瓦工,SPECIAL 640G KVM PROMO V5 · OSAKA CN2 GIA,10C,32768M,640000G,1500M,6000T,半年付,2939.99,USD 美元
搬瓦工,SPECIAL 640G KVM PROMO V5 · OSAKA CN2 GIA,10C,32768M,640000G,1500M,6000T,年付,5549.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · OSAKA CN2 GIA,12C,65536M,1280000G,1500M,8000T,月付,1059.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · OSAKA CN2 GIA,12C,65536M,1280000G,1500M,8000T,季付,2999.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · OSAKA CN2 GIA,12C,65536M,1280000G,1500M,8000T,半年付,5559.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · OSAKA CN2 GIA,12C,65536M,1280000G,1500M,8000T,年付,10559.99,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · CN2 GIA ECOMMERCE HIBW 15T,12C,65536M,1280000G,10000M,15000T,月付,679,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · CN2 GIA ECOMMERCE HIBW 15T,12C,65536M,1280000G,10000M,15000T,季付,1935,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · CN2 GIA ECOMMERCE HIBW 15T,12C,65536M,1280000G,10000M,15000T,半年付,3670,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · CN2 GIA ECOMMERCE HIBW 15T,12C,65536M,1280000G,10000M,15000T,年付,6790,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · CN2 GIA ECOMMERCE HIBW 20T,12C,65536M,1280000G,10000M,20000T,月付,899,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · CN2 GIA ECOMMERCE HIBW 20T,12C,65536M,1280000G,10000M,20000T,季付,2562,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · CN2 GIA ECOMMERCE HIBW 20T,12C,65536M,1280000G,10000M,20000T,半年付,4860,USD 美元
搬瓦工,SPECIAL 1280G KVM PROMO V5 · CN2 GIA ECOMMERCE HIBW 20T,12C,65536M,1280000G,10000M,20000T,年付,8999,USD 美元
搬瓦工,20G KVM · ECOMMERCE SLA LOS ANGELES,2C,1060M,20000G,2500M,1000T,季付,65.89,USD 美元
搬瓦工,20G KVM · ECOMMERCE SLA LOS ANGELES,2C,1060M,20000G,2500M,1000T,半年付,125.99,USD 美元
搬瓦工,20G KVM · ECOMMERCE SLA LOS ANGELES,2C,1060M,20000G,2500M,1000T,年付,239.99,USD 美元
搬瓦工,40G KVM · ECOMMERCE SLA LOS ANGELES,3C,2092M,40000G,2500M,2000T,季付,116.99,USD 美元
搬瓦工,40G KVM · ECOMMERCE SLA LOS ANGELES,3C,2092M,40000G,2500M,2000T,半年付,219.99,USD 美元
搬瓦工,40G KVM · ECOMMERCE SLA LOS ANGELES,3C,2092M,40000G,2500M,2000T,年付,399.99,USD 美元
搬瓦工,80G KVM · ECOMMERCE SLA LOS ANGELES,4C,4140M,80000G,2500M,3000T,月付,69.99,USD 美元
搬瓦工,80G KVM · ECOMMERCE SLA LOS ANGELES,4C,4140M,80000G,2500M,3000T,季付,199.99,USD 美元
搬瓦工,80G KVM · ECOMMERCE SLA LOS ANGELES,4C,4140M,80000G,2500M,3000T,半年付,379.99,USD 美元
搬瓦工,80G KVM · ECOMMERCE SLA LOS ANGELES,4C,4140M,80000G,2500M,3000T,年付,699.99,USD 美元
搬瓦工,160G KVM · ECOMMERCE SLA LOS ANGELES,6C,8256M,160000G,5000M,5000T,月付,109.99,USD 美元
搬瓦工,160G KVM · ECOMMERCE SLA LOS ANGELES,6C,8256M,160000G,5000M,5000T,季付,299.99,USD 美元
搬瓦工,160G KVM · ECOMMERCE SLA LOS ANGELES,6C,8256M,160000G,5000M,5000T,半年付,569.99,USD 美元
搬瓦工,160G KVM · ECOMMERCE SLA LOS ANGELES,6C,8256M,160000G,5000M,5000T,年付,1099.99,USD 美元
搬瓦工,320G KVM · ECOMMERCE SLA LOS ANGELES,8C,16512M,320000G,5000M,8000T,月付,199.99,USD 美元
搬瓦工,320G KVM · ECOMMERCE SLA LOS ANGELES,8C,16512M,320000G,5000M,8000T,季付,569.99,USD 美元
搬瓦工,320G KVM · ECOMMERCE SLA LOS ANGELES,8C,16512M,320000G,5000M,8000T,半年付,1079.99,USD 美元
搬瓦工,320G KVM · ECOMMERCE SLA LOS ANGELES,8C,16512M,320000G,5000M,8000T,年付,1999.99,USD 美元
搬瓦工,640G KVM · ECOMMERCE SLA LOS ANGELES,10C,32934M,640000G,10000M,10000T,月付,369.99,USD 美元
搬瓦工,640G KVM · ECOMMERCE SLA LOS ANGELES,10C,32934M,640000G,10000M,10000T,季付,1055.99,USD 美元
搬瓦工,640G KVM · ECOMMERCE SLA LOS ANGELES,10C,32934M,640000G,10000M,10000T,半年付,1999.99,USD 美元
搬瓦工,640G KVM · ECOMMERCE SLA LOS ANGELES,10C,32934M,640000G,10000M,10000T,年付,3699.99,USD 美元
搬瓦工,1280G KVM · ECOMMERCE SLA LOS ANGELES,12C,65536M,1280000G,10000M,12000T,月付,699.99,USD 美元
搬瓦工,1280G KVM · ECOMMERCE SLA LOS ANGELES,12C,65536M,1280000G,10000M,12000T,季付,1989.99,USD 美元
搬瓦工,1280G KVM · ECOMMERCE SLA LOS ANGELES,12C,65536M,1280000G,10000M,12000T,半年付,3779.99,USD 美元
搬瓦工,1280G KVM · ECOMMERCE SLA LOS ANGELES,12C,65536M,1280000G,10000M,12000T,年付,6999.99,USD 美元
搬瓦工,1280G KVM · ECOMMERCE SLA LOS ANGELES HIBW 15T,12C,65536M,1280000G,10000M,15000T,月付,879.99,USD 美元
搬瓦工,1280G KVM · ECOMMERCE SLA LOS ANGELES HIBW 15T,12C,65536M,1280000G,10000M,15000T,季付,2509.99,USD 美元
搬瓦工,1280G KVM · ECOMMERCE SLA LOS ANGELES HIBW 15T,12C,65536M,1280000G,10000M,15000T,半年付,4768.99,USD 美元
搬瓦工,1280G KVM · ECOMMERCE SLA LOS ANGELES HIBW 15T,12C,65536M,1280000G,10000M,15000T,年付,8799.99,USD 美元
搬瓦工,1280G KVM · ECOMMERCE SLA LOS ANGELES HIBW 20T,12C,65536M,1280000G,10000M,20000T,月付,1159.99,USD 美元
搬瓦工,1280G KVM · ECOMMERCE SLA LOS ANGELES HIBW 20T,12C,65536M,1280000G,10000M,20000T,季付,3299.99,USD 美元
搬瓦工,1280G KVM · ECOMMERCE SLA LOS ANGELES HIBW 20T,12C,65536M,1280000G,10000M,20000T,半年付,6269.99,USD 美元
搬瓦工,1280G KVM · ECOMMERCE SLA LOS ANGELES HIBW 20T,12C,65536M,1280000G,10000M,20000T,年付,11598.99,USD 美元
搬瓦工,SPECIAL 40G KVM PROMO V5 · SINGAPORE CN2 GIA,2C,2048M,40000G,1500M,500T,月付,49.99,USD 美元
搬瓦工,SPECIAL 40G KVM PROMO V5 · SINGAPORE CN2 GIA,2C,2048M,40000G,1500M,500T,季付,139.99,USD 美元
搬瓦工,SPECIAL 40G KVM PROMO V5 · SINGAPORE CN2 GIA,2C,2048M,40000G,1500M,500T,半年付,269.99,USD 美元
搬瓦工,SPECIAL 40G KVM PROMO V5 · SINGAPORE CN2 GIA,2C,2048M,40000G,1500M,500T,年付,499.99,USD 美元
搬瓦工,SPECIAL 80G KVM PROMO V5 · SINGAPORE CN2 GIA,4C,4096M,80000G,1500M,1000T,月付,86.99,USD 美元
搬瓦工,SPECIAL 80G KVM PROMO V5 · SINGAPORE CN2 GIA,4C,4096M,80000G,1500M,1000T,季付,245.99,USD 美元
